Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test suite 02,Chrome 111.0.0.0,,,05-01-2024 01:02:45,05-01-2024 01:05:08,2m - 22.936s,PASSED
,,,,,,,
Test Cases/Test Folder 02/Test 01,Chrome 111.0.0.0,,,05-01-2024 01:02:45,05-01-2024 01:03:02,16.560s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,05-01-2024 01:02:46,05-01-2024 01:02:48,2.488s,PASSED
"navigateToUrl(""http://localhost/login"")",Chrome 111.0.0.0,,,05-01-2024 01:02:48,05-01-2024 01:02:49,0.356s,PASSED
"setText(findTestObject(""Object Repository/Page_Login to Firefly III/input_email""), ""nguyenthiminhkhai63@gmail.com"")",Chrome 111.0.0.0,,,05-01-2024 01:02:49,05-01-2024 01:02:50,0.974s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login to Firefly III/input_password""), ""jAliK7bUrn6ECOXfsBMdlzuu61UDN6ru"")",Chrome 111.0.0.0,,,05-01-2024 01:02:50,05-01-2024 01:02:50,0.529s,PASSED
"click(findTestObject(""Object Repository/Page_Login to Firefly III/button_Sign in""))",Chrome 111.0.0.0,,,05-01-2024 01:02:50,05-01-2024 01:02:51,1.172s,PASSED
"click(findTestObject(""Object Repository/Page_Whats playing  Firefly III/a_Piggy banks""))",Chrome 111.0.0.0,,,05-01-2024 01:02:51,05-01-2024 01:02:53,1.344s,PASSED
"click(findTestObject(""Object Repository/Page_Piggy banks  Firefly III/a_Create new piggy bank""))",Chrome 111.0.0.0,,,05-01-2024 01:02:53,05-01-2024 01:02:53,0.753s,PASSED
"setText(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/input_Name_name""), name_bank)",Chrome 111.0.0.0,,,05-01-2024 01:02:53,05-01-2024 01:02:54,0.850s,PASSED
"selectOptionByValue(findTestObject(""Page_New piggy bank  Piggy banks  Firefly III/select_ABCBr AccABC savings accountCash walletS Acc""), select_option, true)",Chrome 111.0.0.0,,,05-01-2024 01:02:54,05-01-2024 01:02:55,1.049s,PASSED
"setText(findTestObject(""Page_New piggy bank  Piggy banks  Firefly III/input_Target date_targetdate""), date)",Chrome 111.0.0.0,,,05-01-2024 01:02:55,05-01-2024 01:02:56,0.686s,PASSED
"setText(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/input_Target amount_targetamount""), amount)",Chrome 111.0.0.0,,,05-01-2024 01:02:56,05-01-2024 01:02:57,0.740s,PASSED
"setText(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/textarea_Notes_notes""), note)",Chrome 111.0.0.0,,,05-01-2024 01:02:57,05-01-2024 01:02:57,0.705s,PASSED
"click(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/label_Group""))",Chrome 111.0.0.0,,,05-01-2024 01:02:57,05-01-2024 01:02:58,0.387s,PASSED
"setText(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/input_Group_object_group""), group)",Chrome 111.0.0.0,,,05-01-2024 01:02:58,05-01-2024 01:02:59,0.808s,PASSED
"click(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/label_After storing, return here to create _29457e""))",Chrome 111.0.0.0,,,05-01-2024 01:02:59,05-01-2024 01:03:00,0.918s,PASSED
"click(findTestObject(""Page_New piggy bank  Piggy banks  Firefly III/button_Store new piggy bank (1)""))",Chrome 111.0.0.0,,,05-01-2024 01:03:00,05-01-2024 01:03:00,0.799s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/strong_Success""), 0)",Chrome 111.0.0.0,,,05-01-2024 01:03:00,05-01-2024 01:03:01,0.454s,PASSED
"click(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/span_Logout""))",Chrome 111.0.0.0,,,05-01-2024 01:03:01,05-01-2024 01:03:02,0.677s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,05-01-2024 01:03:02,05-01-2024 01:03:02,0.323s,PASSED
,,,,,,,
Test Cases/Test Folder 02/Test 01,Chrome 111.0.0.0,,,05-01-2024 01:03:02,05-01-2024 01:03:17,14.553s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,05-01-2024 01:03:02,05-01-2024 01:03:03,1.023s,PASSED
"navigateToUrl(""http://localhost/login"")",Chrome 111.0.0.0,,,05-01-2024 01:03:03,05-01-2024 01:03:03,0.332s,PASSED
"setText(findTestObject(""Object Repository/Page_Login to Firefly III/input_email""), ""nguyenthiminhkhai63@gmail.com"")",Chrome 111.0.0.0,,,05-01-2024 01:03:03,05-01-2024 01:03:04,0.971s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login to Firefly III/input_password""), ""jAliK7bUrn6ECOXfsBMdlzuu61UDN6ru"")",Chrome 111.0.0.0,,,05-01-2024 01:03:04,05-01-2024 01:03:05,0.496s,PASSED
"click(findTestObject(""Object Repository/Page_Login to Firefly III/button_Sign in""))",Chrome 111.0.0.0,,,05-01-2024 01:03:05,05-01-2024 01:03:06,1.135s,PASSED
"click(findTestObject(""Object Repository/Page_Whats playing  Firefly III/a_Piggy banks""))",Chrome 111.0.0.0,,,05-01-2024 01:03:06,05-01-2024 01:03:08,1.634s,PASSED
"click(findTestObject(""Object Repository/Page_Piggy banks  Firefly III/a_Create new piggy bank""))",Chrome 111.0.0.0,,,05-01-2024 01:03:08,05-01-2024 01:03:08,0.775s,PASSED
"setText(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/input_Name_name""), name_bank)",Chrome 111.0.0.0,,,05-01-2024 01:03:08,05-01-2024 01:03:09,0.858s,PASSED
"selectOptionByValue(findTestObject(""Page_New piggy bank  Piggy banks  Firefly III/select_ABCBr AccABC savings accountCash walletS Acc""), select_option, true)",Chrome 111.0.0.0,,,05-01-2024 01:03:09,05-01-2024 01:03:10,1.033s,PASSED
"setText(findTestObject(""Page_New piggy bank  Piggy banks  Firefly III/input_Target date_targetdate""), date)",Chrome 111.0.0.0,,,05-01-2024 01:03:10,05-01-2024 01:03:11,0.668s,PASSED
"setText(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/input_Target amount_targetamount""), amount)",Chrome 111.0.0.0,,,05-01-2024 01:03:11,05-01-2024 01:03:12,0.702s,PASSED
"setText(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/textarea_Notes_notes""), note)",Chrome 111.0.0.0,,,05-01-2024 01:03:12,05-01-2024 01:03:12,0.728s,PASSED
"click(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/label_Group""))",Chrome 111.0.0.0,,,05-01-2024 01:03:12,05-01-2024 01:03:13,0.361s,PASSED
"setText(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/input_Group_object_group""), group)",Chrome 111.0.0.0,,,05-01-2024 01:03:13,05-01-2024 01:03:14,0.767s,PASSED
"click(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/label_After storing, return here to create _29457e""))",Chrome 111.0.0.0,,,05-01-2024 01:03:14,05-01-2024 01:03:14,0.902s,PASSED
"click(findTestObject(""Page_New piggy bank  Piggy banks  Firefly III/button_Store new piggy bank (1)""))",Chrome 111.0.0.0,,,05-01-2024 01:03:14,05-01-2024 01:03:15,0.797s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/strong_Success""), 0)",Chrome 111.0.0.0,,,05-01-2024 01:03:15,05-01-2024 01:03:16,0.427s,PASSED
"click(findTestObject(""Object Repository/Page_New piggy bank  Piggy banks  Firefly III/span_Logout""))",Chrome 111.0.0.0,,,05-01-2024 01:03:16,05-01-2024 01:03:16,0.643s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,05-01-2024 01:03:16,05-01-2024 01:03:17,0.255s,PASSED
,,,,,,,
Test Cases/Test Folder 02/Test 02_Empty Bank,Chrome 111.0.0.0,,,05-01-2024 01:03:17,05-01-2024 01:03:31,14.048s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,05-01-2024 01:03:17,05-01-2024 01:03:18,0.978s,PASSED
"navigateToUrl(""http://localhost/login"")",Chrome 111.0.0.0,,,05-01-2024 01:03:18,05-01-2024 01:03:18,0.325s,PASSED
"setText(findTestObject(""Object Repository/Page_Login to Firefly III/input_email""), ""nguyenthiminhkhai63@gmail.com"")",Chrome 111.0.0.0,,,05-01-2024 01:03:18,05-01-2024 01:03:19,0.986s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login to Firefly III/input_password""), ""jAliK7bUrn6ECOXfsBMdlzuu61UDN6ru"")",Chrome 111.0.0.0,,,05-01-2024 01:03:19,05-01-2024 01:03:20,0.474s,PASSED
"click(findTestObject(""Object Repository/Page_Login to Firefly III/button_Sign in""))",Chrome 111.0.0.0,,,05-01-2024 01:03:20,05-01-2024 01:03:21,1.213s,PASSED
"click(findTestObject(""Object Repository/Page_Whats playing  Firefly III/a_Piggy banks""))",Chrome 111.0.0.0,,,05-01-2024 01:03:21,05-01-2024 01:03:23,1.633s,PASSED
"click(findTestObject(""Object Repository/Page_Piggy banks  Firefly III/a_Create new piggy bank""))",Chrome 111.0.0.0,,,05-01-2024 01:03:23,05-01-2024 01:03:23,0.879s,PASSED
